ST_LABEL,L_ZIP,R_ZIP
MITSUBISHI WILD WETLAND TRL,10458,10458
28 AV,11360,11360
SCHERMERHORN ST,11217,11217
QUEENS BLVD,11415,11415
ARLINGTON AV,10471,10471
ARTHUR KILL RD,10308,10308
E 181 ST,10457,10457
58 LA,11377,11377
FOREST AV,11385,11385
TIDES LA,10309,10309
HIGHLANDS-MARTHAS VYD FERRY RTE,,
CYPRESS CREST LA,10314,10314
WALWORTH ST,11205,11205
58 ST,11220,11220
HERSCHELL ST,10461,10461
PRESIDENT ST,10314,10314
DRIVEWAY,10040,10040
FULTON AV,10456,10456
AV I,11230,11230
178 ST,11433,11433
BENNETT AV,10033,10033
SILVER CT,10301,10301
AV W,11223,11223
NORTHERN BLVD,11358,11358
AV N,11230,11230
69 AV,11375,11375
ROOSEVELT IS BR PED & BIKE PATH,11106,11106
TOMPKINS AV,10305,10305
PITKIN AV,11207,11207
MARCY HOUSES PEDESTRIAN PATH,11206,11206
105 ST,11417,11417
BRAGG ST,11229,11229
CROPSEY AVE,11214,11214
ALLERTON AV,10469,10469
CROSS ISLAND PKWY ET 25 B SB,11411,11411
56 ST,11220,11220
ZOO PATH,11355,11355
ALLEY,,
EASTCHESTER RD,10469,10469
HENRY HUDSON PKWY,10463,10463
BEACON PL,11691,11691
WILLIS AV,10454,10454
KINGS HWY,11223,11223
ALBRIGHT ST,10304,10304
E 96 ST,11212,11212
MANOR RD,10314,10314
49 AV,11368,11368
UTOPIA PKWY,11365,11365
E 150 ST,10455,10455
126 ST,11356,11356
BEACH 66 ST,11692,11692
MORRIS I HOUSES PEDESTRIAN PATH,10456,10456
65 RD,11374,11374
222 ST,11361,11361
MILL BROOK HOUSES PEDESTRIAN PTH,10454,10454
GLEASON AV,10472,10472
AV P,11234,11234
HUNTERS PT AV,11101,11101
74 ST,11373,11373
TIMPSON PL,10455,10455
81 ST,11370,11370
E 171 ST,10457,10457
STONE ST,10004,10004
VAN CORTLANDT AV,10301,10301
SUNSET HILL DR,10301,10301
WELLHOUSE DR,11226,11226
LITHONIA AV,11365,11365
GOLD ST,10038,10038
HARMONY ROAD,11697,11697
E 167 ST,10452,10452
WHITTIER ST,10474,10474
AV J,11236,11236
METROPOLITAN AV,11237,11237
ALLEY,11432,11432
POPHAM AV,10452,10452
33 ST,11101,11101
CROSS BAY BLVD,11693,11693
WASHINGTON BR,10453,10453
MILL RIVER RD,10458,10458
BQE,11377,11377
THORNYCROFT AV,10312,10312
NEWTOWN RD,11103,11103
WILLIAMS AV,11207,11207
ALLEY,11213,11213
148 ST,11436,11436
58 AV,11379,11379
KINGSBORO PSYCHIATRIC CTR DVWY,11203,11203
MAJOR DEEGAN EXWY,10451,10451
PLATT ST,10306,10306
50 AV,11101,11101
TAYLOR AV,10472,10472
108 ST,11375,11375
OAK AV,10306,10306
WOODBINE ST,11221,11221
JEROME AV,10452,10452
E 109 ST,10029,10029
31 AV,11369,11369
AMSTERDAM AV,10033,10033
156 ST,11357,11357
33 ST,11105,11105
8 AV,10001,10001
E 61 ST,10065,10065
GLOVER ST,10462,10462
GRAND CENTRAL PKWY,11355,11355
MILL AV,11234,11234
LINDEN BLVD,11208,11208
107 AV,11417,11417
RYER AV,10457,10457
EDINBORO RD,10306,10306
UNNAMED ST,10305,10305
EASTERN RD,11430,11430
N RAILROAD AV,10306,10306
ROOSEVELT ISLAND GREENWAY,10044,10044
LONG ISLAND EXPY,11378,11378
SCOTT AV,11222,11222
GREENWICH ST,10014,10014
11 ST,11101,11101
MATILDA AV,10470,10470
FRANKLIN D ROOSEVELT DRIVE,10038,10038
BROAD ST,11422,11422
ELIOT AV,11379,11379
BIKE PATH,10037,10037
FABER ST,10302,10302
BELT PKWY,11234,11234
JUNIPER VALLEY RD,11379,11379
HECKER ST,10307,10307
36 ST,11218,11218
46 ST,11220,11220
ADRIANNE LA,10303,10303
CROSS BRONX EXWY,10452,10452
BEVERLEY ROAD,11203,11203
BAY 24 ST,11691,11691
WEST DR,11363,11363
BALCOM AV,10465,10465
BEACH CHANNEL DR,11694,11694
BAY VIEW HOUSES PEDESTRIAN PATH,11236,11236
95 ST,11414,11414
SEDGWICK AVE,10468,10468
QUEENS PLZ N,11101,11101
105 ST,11368,11368
37 DR,11368,11368
TIEBOUT AV,10458,10458
NEW LOTS AV,11208,11208
N CONDUIT AV EN CROSS BAY BLVD,11417,11417
3 AV,10021,10021
TELEPORT DR,10314,10314
HARLEM RIVER DR,10037,10037
KATAN LOOP,10308,10308
ALLEY,,
HENRY PL,10305,10305
CROSS BRONX EXPWY ET 6 B EB,10465,10465
JAMAICA AV,11423,11423
BUFFALO ST,10306,10306
HORACE HARDING EXPY,11365,11365
DOE CT,10314,10314
E 167 ST,10459,10459
BRADDOCK AV,11428,11428
75 ST,11421,11421
KINGSBURY AV,11364,11364
ASSEMBLY RD,11251,11251
AV P,11229,11229
E 14 RD,11693,11693
CONNECTOR,10458,10458
W 104 ST,10025,10025
PARK AV,10021,10021
7 AV,10011,10011
CONSELYEA ST,11211,11211
E 12 ST,11229,11229
BRONX SHORE RD,10035,10035
PROSPECT PARK W,11215,11215
CONNECTOR,10468,10468
WEBSTER AV,10301,10301
FRANKLIN D ROOSEVELT DRIVE,10022,10022
JAMAICA AV,11428,11428
JEROME AV,10305,10305
PEDESTRIAN PATH,10026,10026
COLUMBUS AV,10023,10023
AV U,11234,11234
MYRTLE AV,11237,11237
61 ST,11377,11377
UTICA WALK,11697,11697
W SHORE EXPRESSWAY EXIT 3 NB,10309,10309
PELHAM PKWY,10467,10467
TARGEE ST,10304,10304
VARICK AV,11237,11237
57 ST,11219,11219
MAJOR DEEGAN EXWY,10471,10471
ALLEY,,
82 AV,11426,11426
23 ST,11106,11106
OUTERBRIDGE CG,10309,10309
NASSAU EXWY,11430,11430
113 AV,11412,11412
E TREMONT AV,10457,10457
189 ST,11365,11365
248 ST,11422,11422
E 222 ST,10467,10467
4 AV,10003,10003
ATLANTIC AV,11208,11208
CITY ISLAND RD,10464,10464
JULIE CT,10314,10314
E 22 ST,11210,11210
GREAT KILLS PARK DVWY,10306,10306
47 AV,11358,11358
HARLEM RIVER DR,10035,10035
59 RD,11378,11378
GOE WB EN PROSPECT AV,11232,11232
OVERLOOK AV,10304,10304
LIBERTY AV,11417,11417
WHITTIER ST,10474,10474
HILLSIDE AV,11427,11427
BATH AV,11214,11214
3 AV BR,10037,10035
65 ST,11220,11220
VICTORY BLVD FOOTBRIDGE,10301,10301
DUMONT AV,11212,11212
WEIRFIELD ST,11237,11237
ALLEY,,
E 171 ST,10452,10452
PARSONS BLVD,11355,11355
60 ST,11385,11385
172 ST,11432,11432
KEARNEY AV,10465,10465
S CONDUIT AV,11413,11413
ROOSEVELT IS BR,10044,10044
OAKLAND AV,10310,10310
E 52 ST,11203,11203
188 ST,11423,11423
217 ST,11364,11364
BROADWAY,10025,10025
PROSPECT PARK W,11215,11215
E MEADOW PATH,83,83
CLAREMONT AV,10027,10027
PEDESTRIAN AND BIKE PATH LINK,10044,10044
75 AV,11366,11366
GLENMORE AV,11207,11207
8 AV,11217,11217
TECH PL,11201,11201
TUCKERTON ST,11433,11433
CROSS IS PKWY,11426,11426
FERN PL,11433,11433
BRONX BLVD,10466,10466
ABERDEEN RD,11423,11423
VAN WYCK EXPY,11420,11420
ARTHUR KILL RD,10309,10309
ALBANY HOUSES PEDESTRIAN PATH,11213,11213
WALL ST,10005,10005
HOWARD CT,10310,10310
CENTRAL AV,11221,11221
NOEL AV,11229,11229
HIGHLANDS-EAST MIDTOWN FERRY RTE,,
82 AV,11040,11040
52 AV,11378,11378
160 AV,11414,11414
JAMAICA AV,11207,11207
FARMERS BLVD,11412,11412
MAJOR DEEGAN EXWY,10471,10471
FRAWLEY CIR,10029,10029
NORFOLK ST,10002,10002
3 AV,11217,11217
DRIVEWAY,10023,10023
WASHINGTON AVE,11238,11238
NORTHERN BLVD,11361,11361
WAIMER PL,10312,10312
E 91 ST,10028,10028
BROADWAY,10310,10310
53 AV,11364,11364
80 ST,11373,11373
HERKIMER ST,11216,11216
ALLEY,11233,11233
155 ST,11434,11434
GRAND CENTRAL PKWY,11370,11370
LOCKE AV,11357,11357
AV U,11234,11234
QUEENS BLVD,11101,11101
GARNET ST,11231,11231
ALLEY,11366,11366
QUEEN ST,10314,10314
ALLEY,11236,11236
S GANNON AV,10314,10314
LEXINGTON AV,10017,10017
E HOUSTON ST,10002,10002
BIKE PATH,10044,10044
STATEN ISLAND EXPWY ET 14 WB,10305,10305
VAN SICLEN AV,11207,11207
85 AV,11426,11426
GUION PL,10460,10460
OVINGTON AV,11220,11209
ATKINS AV,11208,11208
ALLEY,11105,11105
SEAGIRT BLVD,11691,11691
158 AV,11414,11414
