,index,CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,BORO_NM,Latitude,Longitude
0,0,118899213,MISDEMEANOR,PETIT LARCENY,STATEN ISLAND,40.53002818500005,-74.20372645699997
1,1,237656719,VIOLATION,HARRASSMENT 2,STATEN ISLAND,40.57354380200008,-74.10676634099997
2,2,192377396,FELONY,BURGLARY,BROOKLYN,40.58137495000005,-73.96452297399995
3,3,547742823,VIOLATION,HARRASSMENT 2,MANHATTAN,40.80455132600008,-73.93229952799999
4,4,417880460,MISDEMEANOR,SEX CRIMES,BROOKLYN,40.680579719000036,-73.97431655799994
5,5,983885487,FELONY,MISCELLANEOUS PENAL LAW,BRONX,40.865428146000056,-73.86786488599995
6,6,155483995,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,40.63476806800003,-74.07744277399995
7,7,380971448,FELONY,GRAND LARCENY,QUEENS,40.76202248300007,-73.89648287499993
8,8,736359683,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.60358855000004,-73.95635435099996
9,9,171477324,VIOLATION,HARRASSMENT 2,STATEN ISLAND,40.61347483000004,-74.06736190199997
10,10,241776321,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,40.692355735000035,-73.92171792899995
11,11,969648007,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.65945193500005,-73.93120691499998
12,12,503124732,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.734895538000046,-73.98995943399994
13,13,735630218,FELONY,FELONY ASSAULT,QUEENS,40.73292312500007,-73.88268327299994
14,14,952508559,MISDEMEANOR,OFFENSES RELATED TO CHILDREN,QUEENS,40.75710547500006,-73.90804828499995
15,15,825328397,MISDEMEANOR,DANGEROUS DRUGS,BROOKLYN,40.593387743000044,-73.96081867899994
16,16,913034035,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,40.680717136000055,-73.96463958299995
17,17,950380463,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,BRONX,40.83964248300003,-73.90496709399997
18,18,436509275,FELONY,GRAND LARCENY,QUEENS,40.783826549000025,-73.78073449699998
19,19,733059029,FELONY,ROBBERY,MANHATTAN,40.75572676000007,-73.97925421599997
20,20,949883083,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,40.718564066000056,-73.98820145399995
21,21,699837326,VIOLATION,HARRASSMENT 2,BROOKLYN,40.69334196600005,-73.94735249099993
22,22,527377907,FELONY,GRAND LARCENY,STATEN ISLAND,40.62634973000007,-74.13180516899995
23,23,548313698,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.82263934300004,-73.89586106699994
24,24,391769207,FELONY,RAPE,BRONX,40.83732351100008,-73.91983075699994
25,25,605077053,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.751853036000064,-73.99853247999994
26,26,263856558,VIOLATION,HARRASSMENT 2,BROOKLYN,40.663569288000076,-73.92284026399994
27,27,840741966,MISDEMEANOR,PETIT LARCENY,BRONX,40.860752045000034,-73.88958329299999
28,28,623760894,VIOLATION,HARRASSMENT 2,MANHATTAN,40.791598615000055,-73.94173488299998
29,29,812933317,VIOLATION,HARRASSMENT 2,QUEENS,40.74489833900003,-73.86039896099999
30,30,890630316,FELONY,GRAND LARCENY,MANHATTAN,40.75230591800005,-74.00154983299996
31,31,797903268,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,QUEENS,40.78097011700004,-73.77547206199995
32,32,275770435,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,BROOKLYN,40.61158538600006,-73.95976351299998
33,33,790991784,FELONY,CRIMINAL MISCHIEF & RELATED OF,QUEENS,40.69737742400008,-73.82199381899994
34,34,795765825,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.73503562400003,-73.99123676799998
35,35,227056746,MISDEMEANOR,DANGEROUS DRUGS,BROOKLYN,40.70220428600004,-73.94061202099994
36,36,400122285,FELONY,GRAND LARCENY,QUEENS,40.70772410500007,-73.80278841599994
37,37,373371491,MISDEMEANOR,PETIT LARCENY,BRONX,40.817755155000036,-73.91801900999997
38,38,601764631,FELONY,DANGEROUS WEAPONS,BROOKLYN,40.71934994400005,-73.95718042299995
39,39,828487531,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.80959683800006,-73.94978559799995
40,40,236087552,VIOLATION,HARRASSMENT 2,BROOKLYN,40.62280690000005,-74.02835139899997
41,41,727201121,VIOLATION,HARRASSMENT 2,QUEENS,40.717955142000044,-73.75487664699995
42,42,727007415,FELONY,GRAND LARCENY,QUEENS,40.743625069000075,-73.81917446699998
43,43,502511736,MISDEMEANOR,PETIT LARCENY,BRONX,40.80985488300007,-73.92465750699995
44,44,977198818,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.750430768000044,-73.98928217599996
45,45,360895789,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,BROOKLYN,40.67163678100008,-73.96262203799995
46,46,474325923,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.677139571000055,-73.86375304799998
47,47,265341842,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.643542986000064,-73.89774409899995
48,48,363959718,MISDEMEANOR,DANGEROUS DRUGS,MANHATTAN,40.812115968000064,-73.95516997799997
49,49,147179446,FELONY,GRAND LARCENY,BROOKLYN,40.67565855700008,-73.94995854199995
50,50,425326873,FELONY,GRAND LARCENY,BROOKLYN,40.643006969000055,-73.97686058599999
51,51,117567041,FELONY,MISCELLANEOUS PENAL LAW,BROOKLYN,40.694463380000045,-73.934344207
52,52,179499397,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.65773960300004,-73.86859703099998
53,53,742541590,FELONY,GRAND LARCENY,MANHATTAN,40.866062945000074,-73.91929717799998
54,54,819318095,VIOLATION,HARRASSMENT 2,BROOKLYN,40.64636054700002,-73.91278462499997
55,55,187604481,FELONY,BURGLARY,BRONX,40.81133729000004,-73.91703347999999
56,56,251371487,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.80959683800006,-73.94978559799995
57,57,615564062,VIOLATION,HARRASSMENT 2,BROOKLYN,40.57628456500004,-73.98139061299997
58,58,877052112,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,BROOKLYN,40.664239422000044,-73.90842501099996
59,59,755496075,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.70493601500005,-73.95412036099998
60,60,226472568,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,40.743418414000075,-73.99799856299995
61,61,282691561,FELONY,GRAND LARCENY,MANHATTAN,40.79330655100007,-73.96349994499997
62,62,245153144,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.78874407400008,-73.97053356999999
63,63,103808393,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,QUEENS,40.673684008000066,-73.79375389899997
64,64,960961256,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.78787459900008,-73.92818164599998
65,65,449156260,FELONY,BURGLARY,MANHATTAN,40.75387492400005,-73.98482043999995
