,College/University,Mall/Big Shopping Complex,Park,Neighborhood,Borough
0,,,1.0,Annadale,STATEN ISLAND
1,,1.0,5.0,Arden Heights,STATEN ISLAND
2,1.0,,2.0,Arlington,STATEN ISLAND
3,1.0,,3.0,Arrochar,STATEN ISLAND
4,1.0,,1.0,Arverne,QUEENS
5,1.0,2.0,9.0,Astoria Heights,QUEENS
6,2.0,3.0,12.0,Astoria,QUEENS
7,,1.0,2.0,Auburndale,QUEENS
8,1.0,,14.0,Bath Beach,BROOKLYN
9,,6.0,17.0,Battery Park City,MANHATTAN
10,,2.0,6.0,Bay Ridge,BROOKLYN
11,,1.0,6.0,Bay Terrace,QUEENS
12,,,6.0,Bay Terrace,STATEN ISLAND
13,,3.0,4.0,Baychester,BRONX
14,,1.0,3.0,Bayside,QUEENS
15,,1.0,11.0,Bedford Park,BRONX
16,1.0,3.0,12.0,Bedford Stuyvesant,BROOKLYN
17,1.0,2.0,6.0,Beechhurst,QUEENS
18,1.0,,6.0,Bellaire,QUEENS
19,,,3.0,Belle Harbor,QUEENS
20,1.0,,2.0,Bellerose,QUEENS
21,,2.0,15.0,Belmont,BRONX
22,1.0,,15.0,Bensonhurst,BROOKLYN
23,,1.0,3.0,Bergen Beach,BROOKLYN
24,1.0,,8.0,Blissville,QUEENS
25,,,1.0,Bloomfield,STATEN ISLAND
26,,2.0,8.0,Boerum Hill,BROOKLYN
27,,2.0,3.0,Borough Park,BROOKLYN
28,,2.0,8.0,Briarwood,QUEENS
29,1.0,1.0,8.0,Brighton Beach,BROOKLYN
30,,,1.0,Broad Channel,QUEENS
31,1.0,,12.0,Broadway Junction,BROOKLYN
32,,4.0,23.0,Brooklyn Heights,BROOKLYN
33,,,4.0,Brookville,QUEENS
34,1.0,,11.0,Brownsville,BROOKLYN
35,,,5.0,Bulls Head,STATEN ISLAND
36,1.0,3.0,12.0,Bushwick,BROOKLYN
37,,,4.0,Butler Manor,STATEN ISLAND
38,1.0,,3.0,Cambria Heights,QUEENS
39,,3.0,4.0,Canarsie,BROOKLYN
40,,,10.0,Carnegie Hill,MANHATTAN
41,,1.0,14.0,Carroll Gardens,BROOKLYN
42,,1.0,11.0,Castle Hill,BRONX
43,1.0,,4.0,Castleton Corners,STATEN ISLAND
44,,1.0,15.0,Central Harlem,MANHATTAN
45,,2.0,,Charleston,STATEN ISLAND
46,,2.0,17.0,Chelsea,MANHATTAN
47,,,3.0,Chelsea,STATEN ISLAND
