,Borough,Neighborhood,Venue_Category,Venue_Latitude,Venue_Longitude,Venue_Name
0,BRONX,Wakefield,Medical,40.88087885567499,-73.88000965118408,Montefiore Medical Center (Albert Einstein College of Medicine)
1,BRONX,Wakefield,Education,40.88010042030634,-73.82680197985233,The College of New Rochelle Co-op City Campus
2,BRONX,Wakefield,Education,40.87490769759906,-73.8670575472182,College Of New Rochelle- Co Op City Campus
3,BRONX,Wakefield,Community College,40.91057503970938,-73.83772804086286,Westchester Community College
4,BRONX,Wakefield,Nursery School,40.874369188722675,-73.84580313594053,The kiddie college
5,BRONX,Wakefield,Classroom,40.896977480089376,-73.87627416044037,Iona College Biotechnology Class -STL125B
6,BRONX,Wakefield,Student Center,40.883006765674345,-73.88708087702837,Lehman College Science Learning Center
7,BRONX,Wakefield,Sorority House,40.88009031034528,-73.87714124631017,KinGs CoLLege PL & Gun HiLL Rd
8,BRONX,Co-op City,Residence Hall,40.85217286113229,-73.84451541587539,Albert Einstein College Of Medicine Of Yeshiva University- Student Housing
9,BRONX,Co-op City,University,40.85295754613091,-73.83785439624629,Mercy College - Bronx Campus
10,BRONX,Co-op City,Medical School,40.850588048016974,-73.84596394528785,Albert Einstein College of Medicine
11,BRONX,Co-op City,Cafeteria,40.85314961874089,-73.83768307941949,Mercy College Cafetria
12,BRONX,Co-op City,Education,40.88010042030634,-73.82680197985233,The College of New Rochelle Co-op City Campus
13,BRONX,Co-op City,Library,40.85294532040256,-73.83742363892532,Mercy College Library
14,BRONX,Co-op City,Hospital,40.85278777366716,-73.84677160606817,Van Etten-Albert Einstein College of Medicine
15,BRONX,Co-op City,Administrative Building,40.849581,-73.846824,Block Building of Albert Einstein College of Medicine
16,BRONX,Co-op City,College Bookstore,40.85865095208485,-73.82992831119559,SUNY Maritime College Ship's Store
17,BRONX,Co-op City,Nursery School,40.874369188722675,-73.84580313594053,The kiddie college
18,BRONX,Co-op City,Education,40.87490769759906,-73.8670575472182,College Of New Rochelle- Co Op City Campus
19,BRONX,Co-op City,Medical School,40.8509363683806,-73.8453149639042,Belfer Building at Albert Einstein College Of Medicine
20,BRONX,Co-op City,Parking,40.85312449914417,-73.8376820934199,Mercy College Parking Lot
21,BRONX,Co-op City,Medical School,40.85545088343037,-73.84657272234311,Albert Einstein College of Medicine - Rose F. Kennedy Center
22,BRONX,Co-op City,Science,40.850924740459625,-73.84541259840815,Golding Building of Einstein College Of Medicine (Yeshiva University)
23,BRONX,Co-op City,Medical,40.84913494024214,-73.83257037486555,Montefiore University Hospital For Albert Einstein College Of Medicine
24,BRONX,Co-op City,Academic Building,40.86515258886802,-73.86902149735702,Hostso Community College
25,BRONX,Co-op City,College Bookstore,40.846853840661,-73.84267307074222,Mercy College - Bronx Campus Bookstore
26,BRONX,Co-op City,Library,40.85033889228549,-73.84598117485301,D. Samuel Gottesman Library
27,BRONX,Co-op City,Community College,40.91057503970938,-73.83772804086286,Westchester Community College
