,Name,Borough,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
0,Wakefield,BRONX,40.89470517661004,-73.8472005205491,40.1,71.61666666666666,36.416666666666664
1,Co-op City,BRONX,40.87429419303015,-73.82993910812405,40.8,94.33333333333333,35.56666666666667
2,Eastchester,BRONX,40.88755567735082,-73.82780644716419,36.95,84.53333333333333,31.733333333333334
3,Fieldston,BRONX,40.895437426903875,-73.90564259591689,31.516666666666666,61.766666666666666,39.45
4,Riverdale,BRONX,40.89083449389134,-73.91258546108577,30.083333333333332,60.21666666666667,40.31666666666667
5,Kingsbridge,BRONX,40.88168737120525,-73.90281798724611,35.333333333333336,45.86666666666667,38.18333333333333
6,Marble Hill,MANHATTAN,40.87655077879968,-73.91065965862988,34.78333333333333,45.28333333333333,38.5
7,Woodlawn,BRONX,40.898272612138086,-73.86731496814183,36.61666666666667,73.9,34.45
8,Norwood,BRONX,40.877224155994504,-73.87939073956817,37.516666666666666,51.483333333333334,34.916666666666664
9,Williamsbridge,BRONX,40.88103887819214,-73.85744642974214,38.65,62.88333333333333,35.25
10,Baychester,BRONX,40.86685810725274,-73.83579759808124,35.25,76.25,30.016666666666666
11,Pelham Parkway,BRONX,40.85741349808869,-73.85475564018006,34.983333333333334,64.38333333333334,28.633333333333333
12,City Island,BRONX,40.84724670491817,-73.7864884526742,38.68333333333333,75.85,33.18333333333333
13,Bedford Park,BRONX,40.87018516497537,-73.88551218419137,35.583333333333336,63.483333333333334,33.68333333333333
14,University Heights,BRONX,40.85572707719668,-73.91041596191317,33.93333333333333,56.25,38.05
15,Morris Heights,BRONX,40.84789792606274,-73.91967159119572,29.616666666666667,59.86666666666667,34.25
16,Fordham,BRONX,40.86099679638657,-73.8964265598163,36.3,40.233333333333334,35.583333333333336
17,East Tremont,BRONX,40.84269615786057,-73.88735617532345,33.166666666666664,50.56666666666667,32.46666666666667
18,West Farms,BRONX,40.83947505672657,-73.87774474910552,29.733333333333334,48.083333333333336,28.55
19,High  Bridge,BRONX,40.8366230107061,-73.92610209358138,28.966666666666665,52.333333333333336,32.516666666666666
20,Melrose,BRONX,40.81975437059498,-73.90942160757443,31.116666666666667,40.28333333333333,34.666666666666664
21,Mott Haven,BRONX,40.80623874935181,-73.91609987487583,24.833333333333332,45.016666666666666,28.383333333333333
22,Port Morris,BRONX,40.80166362775625,-73.91322139386142,25.716666666666665,60.75,29.25
23,Longwood,BRONX,40.815099045458254,-73.89578820094466,28.2,46.88333333333333,29.683333333333334
24,Hunts Point,BRONX,40.809729879387135,-73.88331505955298,32.36666666666667,67.6,32.38333333333333
25,Morrisania,BRONX,40.82359198585537,-73.90150648943066,33.083333333333336,42.0,35.166666666666664
26,Soundview,BRONX,40.82101219791406,-73.86574609554933,30.133333333333333,74.15,28.466666666666665
27,Clason Point,BRONX,40.806551120035934,-73.85414416189273,37.18333333333333,90.71666666666667,33.5
28,Throgs Neck,BRONX,40.815109258040096,-73.8163500215845,34.46666666666667,97.91666666666667,28.166666666666668
