,hood_name,amount,borough_name,latitude,longitude,log_amount,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
0,Annadale,748585.0,STATEN ISLAND,40.538114174745104,-74.17854866165885,5.874241120557597,47.35,80.35,50.71666666666667
1,Arden Heights,621176.5,STATEN ISLAND,40.549285822783254,-74.185886745839,5.793215017382705,44.43333333333333,79.51666666666667,47.8
2,Arlington,389937.0,STATEN ISLAND,40.63532509911496,-74.16510420241131,5.590994446097041,37.93333333333333,76.3,43.55
3,Arrochar,621200.0,STATEN ISLAND,40.596312571276776,-74.06712363225581,5.793231447056521,38.5,50.93333333333333,32.733333333333334
4,Arverne,922134.0,QUEENS,40.58914394372975,-73.7919923313695,5.964794035188152,54.71666666666667,72.71666666666667,28.416666666666668
5,Astoria,1374460.0,QUEENS,40.768508593354966,-73.91565374304241,6.13813210537843,22.983333333333334,30.533333333333335,25.55
6,Astoria Heights,1158351.0,QUEENS,40.770317392998244,-73.89467996270581,6.063840177927913,23.25,106.13333333333334,24.383333333333333
7,Auburndale,894334.0,QUEENS,40.761729549032665,-73.79176243728068,5.951499741690122,31.45,28.766666666666666,27.133333333333333
8,Bath Beach,914863.0,BROOKLYN,40.599518702822415,-73.99875221443526,5.961356063685341,39.016666666666666,55.13333333333333,26.666666666666668
9,Battery Park City,1570748.0,MANHATTAN,40.71193198394569,-74.01686930508625,6.196106515410408,21.066666666666666,24.55,40.733333333333334
10,Bay Ridge,1098888.0,BROOKLYN,40.62580106501069,-74.03062069353821,6.0409534308578285,38.2,51.3,33.766666666666666
11,Bay Terrace,699036.0,QUEENS,40.7828428062456,-73.77680222621588,5.844499542267505,31.566666666666666,46.68333333333333,23.6
12,Bay Terrace,699036.0,STATEN ISLAND,40.55398800858466,-74.13916622175775,5.844499542267505,52.81666666666667,67.28333333333333,49.61666666666667
13,Baychester,537981.5,BRONX,40.86685810725274,-73.83579759808124,5.730767341491561,35.25,75.66666666666667,30.016666666666666
14,Bayside,975283.0,QUEENS,40.76604063281068,-73.77427363068676,5.989130654164996,30.433333333333334,34.36666666666667,24.4
15,Bedford Park,410292.0,BRONX,40.87018516497537,-73.88551218419137,5.61309304904167,35.583333333333336,43.61666666666667,33.68333333333333
16,Bedford Stuyvesant,1248311.0,BROOKLYN,40.6872316077205,-73.94178488690304,6.096322797491903,34.333333333333336,41.5,35.46666666666667
17,Beechhurst,1026172.5,QUEENS,40.792781403600515,-73.80436451720996,6.011220371985435,28.833333333333332,67.78333333333333,22.466666666666665
18,Bellaire,680868.5,QUEENS,40.73301404027838,-73.73889198912488,5.833063242252025,32.483333333333334,64.45,17.916666666666668
19,Belle Harbor,870570.0,QUEENS,40.57615556543113,-73.85401750392529,5.93980369721267,50.75,100.13333333333334,24.45
20,Bellerose,626697.0,QUEENS,40.72857318176679,-73.7201281482691,5.79705761573625,32.63333333333333,66.08333333333333,17.483333333333334
21,Belmont,493852.0,BRONX,40.85727710073898,-73.88845196134812,5.693596816912368,34.45,46.88333333333333,32.55
22,Bensonhurst,997118.0,BROOKLYN,40.61100890202048,-73.99517998380736,5.998746556221834,42.43333333333333,51.56666666666667,32.333333333333336
23,Bergen Beach,842824.5,BROOKLYN,40.615149550453125,-73.89855633630324,5.9257371515921555,55.166666666666664,82.6,28.35
24,Blissville,1158119.0,QUEENS,40.73725071694501,-73.93244235260185,6.063753186669542,14.133333333333333,29.616666666666667,31.633333333333333
25,Boerum Hill,1747683.0,BROOKLYN,40.687241380657376,-73.98357724689187,6.242462661802028,27.7,26.483333333333334,38.11666666666667
26,Borough Park,1144638.0,BROOKLYN,40.63313051275805,-73.99049823044818,6.058668159636646,38.7,43.18333333333333,41.5
27,Breezy Point,383988.0,QUEENS,40.557401288454564,-73.92551196994177,5.584317652452909,54.43333333333333,,28.133333333333333
28,Briarwood,712692.0,QUEENS,40.710935472522756,-73.81174822458641,5.852901883849072,29.683333333333334,43.833333333333336,15.816666666666666
29,Brighton Beach,456419.0,BROOKLYN,40.576825065666085,-73.96509448785343,5.6593637151138445,45.45,50.06666666666667,25.266666666666666
30,Broad Channel,424867.0,QUEENS,40.603026583512424,-73.82005489110327,5.62825300015407,46.71666666666667,72.18333333333334,20.416666666666668
31,Broadway Junction,818018.0,BROOKLYN,40.67786104769535,-73.90331684852606,5.91276286016847,35.21666666666667,40.016666666666666,24.45
32,Brooklyn Heights,1779544.0,BROOKLYN,40.69586372272413,-73.99378225496432,6.250308730592724,26.466666666666665,26.766666666666666,36.36666666666667
33,Brookville,532168.0,QUEENS,40.66000322733616,-73.7517531073116,5.726048756270898,39.9,81.35,12.95
34,Brownsville,667099.0,BROOKLYN,40.66394994339758,-73.91023536176615,5.824190289633535,41.56666666666667,43.63333333333333,27.183333333333334
35,Bulls Head,618980.0,STATEN ISLAND,40.60959180042034,-74.15940948657129,5.791676616661536,37.983333333333334,59.68333333333333,38.28333333333333
36,Bushwick,1093899.5,BROOKLYN,40.69811611017905,-73.92525797487053,6.0389774238252505,31.016666666666666,41.36666666666667,33.266666666666666
37,Butler Manor,1007086.5,STATEN ISLAND,40.506081653463085,-74.22950350260034,6.003066774286807,48.833333333333336,80.6,52.2
