,Borough,Neighborhood,Venue_Category,Venue_Latitude,Venue_Longitude,Venue_Name
0,BRONX,Wakefield,Park,40.887844858296376,-73.86142400234044,Shoelace Park
1,BRONX,Wakefield,Playground,40.8959735,-73.8474609,P.S 87  community park
2,BRONX,Wakefield,Playground,40.89586380424418,-73.84452239967138,my neighbor park
3,BRONX,Wakefield,Playground,40.906859357253474,-73.85760504472081,Wakefield Park
4,BRONX,Wakefield,Park,40.8884138255166,-73.84018621289728,Seton Falls Park
5,BRONX,Wakefield,Track,40.892309710486785,-73.86345692095365,Bronx River Park Running Trails
6,BRONX,Wakefield,Food,40.902657,-73.864319,Park Tavern
7,BRONX,Wakefield,School,40.9048271043769,-73.83718241441515,Toddlers Park Headstart
8,BRONX,Wakefield,Park,40.90133,-73.861854,At The Park
9,BRONX,Wakefield,Dentist's Office,40.88063297441508,-73.8458950270122,Montiefiore Medical Park
10,BRONX,Wakefield,Playground,40.90210471148085,-73.8652084300118,Stillwell Park
11,BRONX,Wakefield,Baseball Field,40.89810860279852,-73.8291127104973,Brush Park
12,BRONX,Wakefield,Residential,40.89636272818021,-73.86300713199259,Webster Park
13,BRONX,Wakefield,Playground,40.879113,-73.841939,Sousa Park
14,BRONX,Wakefield,Parking,40.89447507558415,-73.86008019713897,Parking Lot
15,BRONX,Wakefield,Elementary School,40.90018789282558,-73.83411539138817,Cecil H. Parker Elementary School
16,BRONX,Wakefield,Deli / Bodega,40.907251133486305,-73.85769970906898,Parkway Market & Deli
17,BRONX,Wakefield,Residential,40.902376,-73.860638,The Parkway Terrace
18,BRONX,Wakefield,Food,40.909999,-73.843523,Parkside Restaurant
19,BRONX,Wakefield,Wine Shop,40.897591,-73.867195,Dms Parkway Liquor
20,BRONX,Wakefield,Intersection,40.912856065721606,-73.84888167551992,Mount Vernon Avenue & MacQuesten Parkway
21,BRONX,Co-op City,Pool,40.874529364377544,-73.83745809954557,Haffen Park Pool
22,BRONX,Co-op City,Plaza,40.86771137001841,-73.84195515887788,Cavanaugh Triangle (Eastchester Park)
23,BRONX,Co-op City,Park,40.87764512391663,-73.83083580661068,The Park
24,BRONX,Co-op City,Medical,40.87956292463797,-73.82876983751557,Bay Park Nursing Home
25,BRONX,Co-op City,Park,40.87359183437905,-73.8385091455745,Haffen Park
26,BRONX,Co-op City,Park,40.878337,-73.829072,Givens Creek Park
27,BRONX,Co-op City,Doctor's Office,40.8737563368517,-73.82713794708252,Bay Park Center For Nursing & Rehabilitation
28,BRONX,Co-op City,Playground,40.872504115104675,-73.82715404033661,Kiddie Park
29,BRONX,Co-op City,Garden,40.863459,-73.82495,Co Op Sect 5 Park
30,BRONX,Co-op City,Bridge,40.869,-73.821,Hutchinson River Parkway Drawbridge
31,BRONX,Co-op City,Dentist's Office,40.86334163796229,-73.82069229834269,Park South Dental Office
32,BRONX,Co-op City,Park,40.86815388753105,-73.84229401360336,Angelo Campanaro Park
33,BRONX,Co-op City,Food,40.871652,-73.84191,Green Park Deli and Grocery
34,BRONX,Co-op City,Playground,40.879113,-73.841939,Sousa Park
35,BRONX,Co-op City,Basketball Court,40.862527,-73.819862,"The Barry J. Rowser ""Big B"" Park"
36,BRONX,Co-op City,Deli / Bodega,40.867077,-73.842879,Green Park Deli
37,BRONX,Co-op City,Playground,40.86384529631613,-73.82037063839056,Co-op City (Section 5) Kiddie Park
38,BRONX,Co-op City,Park,40.8884138255166,-73.84018621289728,Seton Falls Park
39,BRONX,Co-op City,Parking,40.874568660954786,-73.82880255160259,Co-op City Parking Garage 2
40,BRONX,Co-op City,Dentist's Office,40.88063297441508,-73.8458950270122,Montiefiore Medical Park
41,BRONX,Co-op City,Playground,40.86301738779298,-73.83653340415128,Burns Park
42,BRONX,Co-op City,Parking,40.867579058512675,-73.82358893750121,Parking Lot Cablevision
43,BRONX,Co-op City,Parking,40.878517,-73.82654,Co-Op City Parking Garage 3
44,BRONX,Co-op City,Residential,40.87289249167487,-73.84621664542577,Parker street and Westchester ave
45,BRONX,Co-op City,Parking,40.87810516357422,-73.83536529541016,Prez's Parking Lot
46,BRONX,Co-op City,Intersection,40.86101670742429,-73.82823602630623,I-95 / Hutchinson River Parkway Interchange
47,BRONX,Co-op City,Parking,40.877431,-73.840551,Bruner Arms Parking Lot
48,BRONX,Co-op City,Road,40.87996437192306,-73.81737378199352,Hutchinson River Parkway
49,BRONX,Co-op City,,40.864204,-73.827501,SP+ Parking
50,BRONX,Co-op City,Parking,40.863339905894975,-73.82168599453881,Einstein loop parking lot
51,BRONX,Eastchester,Pool,40.874529364377544,-73.83745809954557,Haffen Park Pool
52,BRONX,Eastchester,Medical,40.87956292463797,-73.82876983751557,Bay Park Nursing Home
53,BRONX,Eastchester,Park,40.87764512391663,-73.83083580661068,The Park
54,BRONX,Eastchester,Park,40.878337,-73.829072,Givens Creek Park
55,BRONX,Eastchester,Park,40.8884138255166,-73.84018621289728,Seton Falls Park
56,BRONX,Eastchester,Park,40.87359183437905,-73.8385091455745,Haffen Park
57,BRONX,Eastchester,Baseball Field,40.89810860279852,-73.8291127104973,Brush Park
58,BRONX,Eastchester,,40.88641941547394,-73.811454,Central Park BH/Garneau bike ride
59,BRONX,Eastchester,Playground,40.879113,-73.841939,Sousa Park
60,BRONX,Eastchester,Doctor's Office,40.8737563368517,-73.82713794708252,Bay Park Center For Nursing & Rehabilitation
61,BRONX,Eastchester,Playground,40.89586380424418,-73.84452239967138,my neighbor park
62,BRONX,Eastchester,Dentist's Office,40.88063297441508,-73.8458950270122,Montiefiore Medical Park
63,BRONX,Eastchester,Playground,40.8959735,-73.8474609,P.S 87  community park
64,BRONX,Eastchester,Playground,40.872504115104675,-73.82715404033661,Kiddie Park
65,BRONX,Eastchester,Neighborhood,40.896652,-73.82522,Parkside
66,BRONX,Eastchester,Elementary School,40.90018789282558,-73.83411539138817,Cecil H. Parker Elementary School
67,BRONX,Eastchester,Parking,40.878517,-73.82654,Co-Op City Parking Garage 3
68,BRONX,Eastchester,Parking,40.87810516357422,-73.83536529541016,Prez's Parking Lot
69,BRONX,Eastchester,Road,40.87996437192306,-73.81737378199352,Hutchinson River Parkway
70,BRONX,Eastchester,Road,40.89192214136369,-73.81592100141012,Hutchinson River Parkway at Exit 7
71,BRONX,Eastchester,Parking,40.877431,-73.840551,Bruner Arms Parking Lot
72,BRONX,Eastchester,Parking,40.874568660954786,-73.82880255160259,Co-op City Parking Garage 2
73,BRONX,Fieldston,Metro,40.889584980896785,-73.8984800205906,MTA Subway - 242nd St/Van Cortlandt Park (1)
74,BRONX,Fieldston,Park,40.88518346735729,-73.8994733025109,Van Cortlandt Park
75,BRONX,Fieldston,Soccer,40.88700686231985,-73.9007405852265,Gaelic Park
76,BRONX,Fieldston,Pool,40.89019245207901,-73.89689368542851,Van Cortlandt Park Pool
77,BRONX,Fieldston,Track,40.88834126500967,-73.89764785766602,Van Cortlandt Park Running Track
78,BRONX,Fieldston,,40.88471780592716,-73.89968987236024,98 Van Cortlandt Park South
79,BRONX,Fieldston,Park,40.88917798960079,-73.90833081276627,Bell Tower Park
80,BRONX,Fieldston,Basketball Court,40.88690702592401,-73.9050811751206,Seton Park Basketball Courts
81,BRONX,Fieldston,Field,40.888514916146946,-73.89851857921855,Van Cortlandt Park Handball Court
82,BRONX,Fieldston,Trail,40.89995002513582,-73.88782159186479,Bronx Greenway Mosholu / Old Putnam Trail at Van Cortlandt Park
83,BRONX,Fieldston,Playground,40.902056068472895,-73.90479410205289,Vinmont veteran park
84,BRONX,Fieldston,Park,40.88791393116787,-73.91611321473175,Seton Park
85,BRONX,Fieldston,Park,40.88987764066466,-73.90509839949122,Brust Park
86,BRONX,Fieldston,Park,40.888463143377386,-73.90473094592126,Greystone Park
87,BRONX,Fieldston,Playground,40.896472396482785,-73.91399171283997,Riverdale Park
88,BRONX,Fieldston,Park,40.88173532177105,-73.90997283520662,Ewen Park
89,BRONX,Fieldston,Golf Course,40.889102256766755,-73.89216770408609,Van Cortlandt Park Golf Course
90,BRONX,Fieldston,Residential,40.887694841937275,-73.90445535528933,Greystone Park Apartments
91,BRONX,Fieldston,Park,40.884327,-73.892695,Israel Ostroff Plaza Chochoo Train Park
92,BRONX,Fieldston,Park,40.88152213955193,-73.8969970359663,Fort Independence Park
93,BRONX,Fieldston,Food Truck,40.888152518919604,-73.9146232432107,Park Lunch
94,BRONX,Fieldston,Salon / Barbershop,40.885463,-73.907284,Park Terrace Beauty Salon
95,BRONX,Fieldston,Dog Run,40.90146333055409,-73.90579104423523,Frank S. Hackett Park Dog Run
96,BRONX,Fieldston,Park,40.90161821557728,-73.9052763845652,Hackett Park
97,BRONX,Fieldston,Dog Run,40.89792760368813,-73.89663934707642,Van Cortlandt Park Dog Run
98,BRONX,Fieldston,,40.896994,-73.915026,Alder Brook Park
99,BRONX,Fieldston,Dog Run,40.890093186967874,-73.91863346099854,Riverdale Park Dog Run
100,BRONX,Fieldston,Sculpture,40.89034117419257,-73.89801905500549,Mask Sculpture in Van Cortlandt Park
101,BRONX,Fieldston,Metro,40.88864739186613,-73.90005733542672,NYCT - 242nd St/Van Cortlandt Park Crew Room
102,BRONX,Fieldston,Park,40.89029312133789,-73.88853454589844,Van Cortlandt Park Parade Grounds
103,BRONX,Fieldston,Skating Rink,40.888771139043776,-73.89829158782959,The Ice Skating Rink at Van Cortlandt Park
104,BRONX,Fieldston,,40.88741662083121,-73.90134930610657,Gaylick Park
105,BRONX,Fieldston,Skating Rink,40.888846163424276,-73.89832336301158,Van Cortlandt Park Ice Skating Rink
