,Borough,Neighborhood,Venue_Category,Venue_Latitude,Venue_Longitude,Venue_Name
0,BRONX,Wakefield,Caribbean,40.89976672962223,-73.85713521700312,Big Daddy's Caribbean Taste Restaurant
1,BRONX,Wakefield,Chinese,40.90435864343175,-73.84979461488385,Red Flower Chinese Restaurant
2,BRONX,Wakefield,Caribbean,40.89976826898382,-73.85718438589277,Kaieteur Restaurant & Bakery
3,BRONX,Wakefield,Caribbean,40.90182324,-73.84708902375714,Bay 241 Restaurant & Lounge
4,BRONX,Wakefield,Bar,40.90800801178226,-73.83608895832316,Dazzles Restaurant and Bar Lounge
5,BRONX,Wakefield,Caribbean,40.89827622104366,-73.85038105139019,Cooler Runnings Jamaican Restaurant Inc
6,BRONX,Wakefield,Chinese,40.8887854684858,-73.83122576835156,Xing Lung Chinese Restaurant
7,BRONX,Wakefield,Caribbean,40.89856350560861,-73.83701585446238,Margaritaville Restaurant and Lounge
8,BRONX,Wakefield,Caribbean,40.88904194096089,-73.84231345242961,Golden Fountain Restaurant
9,BRONX,Wakefield,Food,40.89813,-73.848516,Cool Running Restaurant
10,BRONX,Wakefield,Latin American,40.89250609999999,-73.8554509,El Jobo Seafood Restaurant
11,BRONX,Wakefield,,40.89085,-73.84886,Bay restaurant
12,BRONX,Wakefield,Halal,40.894718170166016,-73.85683536529541,Carifesta Restaurant
13,BRONX,Wakefield,Food,40.898318,-73.850442,Fort Negril Jamaican Restaurant
14,BRONX,Wakefield,American,40.90357339545961,-73.85022836028178,241 St Cafe & Restaurant
15,BRONX,Wakefield,Restaurant,40.894599214207574,-73.85677807270245,Carifesta Halal Restaurant
16,BRONX,Wakefield,Chinese,40.893725,-73.858407,Ming's Wok Chinese Restaurant
17,BRONX,Wakefield,,40.892181957536316,-73.86161925532339,231st Street Cafe/Restaurant
18,BRONX,Wakefield,Asian,40.89743295245587,-73.85522749080002,excellent taste restaurant
19,BRONX,Wakefield,Food,40.897251,-73.855249,Silver Chimes Restaurant
20,BRONX,Wakefield,Diner,40.88633207186384,-73.82761561924221,Cozy Cottage Restaurant
21,BRONX,Wakefield,Caribbean,40.88625385733291,-73.85120740676203,Lammy's Restaurant
22,BRONX,Wakefield,Food,40.892772,-73.855867,Pheola's Cariibbean Restaurant
23,BRONX,Wakefield,Seafood,40.894773,-73.856522,All Island Seafood Restaurant
24,BRONX,Wakefield,Restaurant,40.894262,-73.856903,C & M Restaurant
25,BRONX,Wakefield,Spanish,40.89289063331684,-73.85582475342396,El Mangu Tipico Restaurant
26,BRONX,Wakefield,Chinese,40.8930766582489,-73.857547,Jacky Chen's Chinese Restaurant
27,BRONX,Wakefield,Food,40.906614,-73.848799,Rio Cobre Restaurant
28,BRONX,Wakefield,Food,40.902851,-73.850657,In Thing Jamaican Restaurant
29,BRONX,Wakefield,Latin American,40.891538975512915,-73.85854686972982,Sabor Latino Restaurant
30,BRONX,Wakefield,Food,40.891906,-73.858103,Arawak Jamaican Restaurant
31,BRONX,Wakefield,American,40.895257455611954,-73.85891440997341,Barry's West Indian & American Restaurant
32,BRONX,Wakefield,Food,40.903243,-73.850583,Crystals Restaurant and Bar
33,BRONX,Wakefield,Food,40.903463,-73.850348,Two Four One St Cafe Restaurant
34,BRONX,Wakefield,Caribbean,40.90538389397327,-73.84942131452463,Cheffy Two Caribbean & American Restaurant
35,BRONX,Wakefield,Asian,40.8841792178673,-73.83268490851218,Jimmy's Best Chinese Restaurant
36,BRONX,Wakefield,Food,40.891376,-73.85844,Hoy Lung Restaurant
37,BRONX,Wakefield,Caribbean,40.903221130371094,-73.850830078125,Island Taste Cuisine Restaurant
38,BRONX,Wakefield,Restaurant,40.903746,-73.849711,Ms. Cherry's Restaurant
39,BRONX,Wakefield,Caribbean,40.904222445815016,-73.8495706347532,Keymani Restaurant
40,BRONX,Wakefield,Pub,40.90296619676567,-73.8650589348822,Moriarty's Bar & Restaurant
41,BRONX,Wakefield,Spanish,40.88869802291594,-73.85718581628483,Spanish restaurant
42,BRONX,Wakefield,Pizza,40.9141058255093,-73.85313367306819,Sal's Pizza Restaurant
43,BRONX,Wakefield,Caribbean,40.88416027552436,-73.85646960124667,The Good Dine Restaurant
44,BRONX,Wakefield,Restaurant,40.89332697452258,-73.8636751426058,Rey De Copas Restaurant & Bar
45,BRONX,Wakefield,Caribbean,40.890071,-73.859219,Sweet Pot Jamaican Restaurant
46,BRONX,Wakefield,Chinese,40.89900675,-73.83378708333333,Golden Gate Chinese Restaurant
47,BRONX,Wakefield,Bakery,40.88418,-73.84932,Yard Style Caribbean Restaurant and Bakery
48,BRONX,Wakefield,Indian,40.88935,-73.859614,Sell Off Restaurant
49,BRONX,Wakefield,,40.90449431728033,-73.85349312175397,Cafe Restaurant
50,BRONX,Co-op City,Chinese,40.86954,-73.84273,No. 1 Chinese Restaurant
51,BRONX,Co-op City,Chinese,40.8887854684858,-73.83122576835156,Xing Lung Chinese Restaurant
52,BRONX,Co-op City,Restaurant,40.876085887834265,-73.82886815052547,Townhouse Restaurant
53,BRONX,Co-op City,Chinese,40.87660292677318,-73.82971005218339,Guang Hui Chinese Restaurant
54,BRONX,Co-op City,Diner,40.88633207186384,-73.82761561924221,Cozy Cottage Restaurant
55,BRONX,Co-op City,Asian,40.8841792178673,-73.83268490851218,Jimmy's Best Chinese Restaurant
56,BRONX,Co-op City,Caribbean,40.87552302991695,-73.84979088186739,Richie Rich Caribbean Taste Restaurant
57,BRONX,Co-op City,American,40.881891042941035,-73.82853259809471,TOWN  HOUSE RESTAURANT 129 DREISER LOOP CO-OP CITY
58,BRONX,Co-op City,Sandwiches,40.863352,-73.827074,Subway restaurant
59,BRONX,Co-op City,Chinese,40.884636,-73.83173,Kim Wong Chinese Restaurant Co
60,BRONX,Co-op City,,40.865369,-73.822453,Cuba Restaurant
61,BRONX,Co-op City,Caribbean,40.88436878845637,-73.83211203676869,Pimento Caribbean Restaurant
62,BRONX,Co-op City,Chinese,40.88323041944512,-73.83525260772788,Best Chinese Restaurant
63,BRONX,Co-op City,Lounge,40.869867825851806,-73.84435584591309,Memories Lounge & Restaurant
64,BRONX,Co-op City,American,40.86618631,-73.82647786,Applebee's Grill + Bar
65,BRONX,Co-op City,Lounge,40.87855992231654,-73.84697474389613,Karkajadas Bar Restaurant & Night Club
66,BRONX,Co-op City,Latin American,40.86845014045678,-73.84573996080391,Caridad Restaurant at Kingsbridge
