,Borough,Neighborhood,Venue_Category,Total_Count
0,BRONX,Wakefield,Caribbean,12
1,BRONX,Wakefield,Chinese,5
2,BRONX,Wakefield,American,2
3,BRONX,Wakefield,Asian,2
4,BRONX,Wakefield,Latin American,2
5,BRONX,Co-op City,Chinese,7
6,BRONX,Co-op City,Caribbean,4
7,BRONX,Co-op City,American,2
8,BRONX,Co-op City,Asian,2
9,BRONX,Co-op City,Lounge,2
10,BRONX,Eastchester,Chinese,6
11,BRONX,Eastchester,Caribbean,4
12,BRONX,Eastchester,American,1
13,BRONX,Eastchester,Asian,1
14,BRONX,Eastchester,Diner,1
15,BRONX,Fieldston,Chinese,11
16,BRONX,Fieldston,Pizza,6
17,BRONX,Fieldston,Diner,3
18,BRONX,Fieldston,Latin American,3
19,BRONX,Fieldston,Japanese,2
20,BRONX,Riverdale,Chinese,12
21,BRONX,Riverdale,Pizza,6
22,BRONX,Riverdale,Latin American,3
23,BRONX,Riverdale,Diner,3
24,BRONX,Riverdale,Deli / Bodega,2
25,BRONX,Kingsbridge,Chinese,14
26,BRONX,Kingsbridge,Diner,5
27,BRONX,Kingsbridge,Spanish,5
28,BRONX,Kingsbridge,Mexican,4
29,BRONX,Kingsbridge,Latin American,3
30,MANHATTAN,Marble Hill,Chinese,14
31,MANHATTAN,Marble Hill,Diner,7
32,MANHATTAN,Marble Hill,Spanish,6
33,MANHATTAN,Marble Hill,Caribbean,3
34,MANHATTAN,Marble Hill,Latin American,3
35,BRONX,Woodlawn,Caribbean,6
36,BRONX,Woodlawn,Chinese,5
37,BRONX,Woodlawn,American,2
38,BRONX,Woodlawn,Bar,2
39,BRONX,Woodlawn,Indian,2
40,BRONX,Norwood,Chinese,12
41,BRONX,Norwood,Mexican,5
42,BRONX,Norwood,Caribbean,4
43,BRONX,Norwood,Pizza,3
44,BRONX,Norwood,Spanish,3
45,BRONX,Williamsbridge,Caribbean,11
46,BRONX,Williamsbridge,Chinese,4
47,BRONX,Williamsbridge,American,2
48,BRONX,Williamsbridge,Bakery,2
49,BRONX,Williamsbridge,Latin American,2
50,BRONX,Baychester,Chinese,6
51,BRONX,Baychester,Pizza,4
52,BRONX,Baychester,Caribbean,3
53,BRONX,Baychester,Italian,2
54,BRONX,Baychester,Lounge,2
55,BRONX,Pelham Parkway,Chinese,8
56,BRONX,Pelham Parkway,Pizza,5
57,BRONX,Pelham Parkway,Mexican,4
58,BRONX,Pelham Parkway,Spanish,3
59,BRONX,Pelham Parkway,American,2
60,BRONX,City Island,Seafood,9
61,BRONX,City Island,Chinese,1
62,BRONX,City Island,Italian,1
63,BRONX,Bedford Park,Chinese,14
64,BRONX,Bedford Park,Mexican,6
65,BRONX,Bedford Park,Caribbean,5
66,BRONX,Bedford Park,Spanish,5
67,BRONX,Bedford Park,Diner,4
68,BRONX,University Heights,Chinese,11
69,BRONX,University Heights,Spanish,6
70,BRONX,University Heights,Latin American,5
71,BRONX,University Heights,Caribbean,4
72,BRONX,University Heights,Mexican,4
73,BRONX,Morris Heights,Chinese,12
74,BRONX,Morris Heights,Latin American,7
75,BRONX,Morris Heights,Spanish,6
76,BRONX,Morris Heights,Seafood,3
77,BRONX,Morris Heights,Caribbean,2
78,BRONX,Fordham,Chinese,12
79,BRONX,Fordham,Italian,7
80,BRONX,Fordham,Spanish,6
81,BRONX,Fordham,Caribbean,4
82,BRONX,Fordham,Diner,3
83,BRONX,East Tremont,Chinese,7
84,BRONX,East Tremont,Italian,5
85,BRONX,East Tremont,Pizza,5
86,BRONX,East Tremont,Spanish,5
87,BRONX,East Tremont,Caribbean,3
88,BRONX,West Farms,Chinese,9
89,BRONX,West Farms,Spanish,6
90,BRONX,West Farms,Caribbean,5
91,BRONX,West Farms,Italian,3
92,BRONX,West Farms,Mexican,3
93,BRONX,High  Bridge,Chinese,12
94,BRONX,High  Bridge,Latin American,5
95,BRONX,High  Bridge,Caribbean,4
96,BRONX,High  Bridge,Mexican,3
97,BRONX,High  Bridge,Spanish,3
98,BRONX,Melrose,Chinese,9
99,BRONX,Melrose,Spanish,5
100,BRONX,Melrose,Pizza,4
101,BRONX,Melrose,Mexican,4
102,BRONX,Melrose,American,3
103,BRONX,Mott Haven,Chinese,7
104,BRONX,Mott Haven,Pizza,7
105,BRONX,Mott Haven,Mexican,6
106,BRONX,Mott Haven,Spanish,5
107,BRONX,Mott Haven,Latin American,3
108,BRONX,Port Morris,Chinese,8
109,BRONX,Port Morris,Mexican,6
110,BRONX,Port Morris,Pizza,6
111,BRONX,Port Morris,Spanish,6
112,BRONX,Port Morris,Caribbean,2
113,BRONX,Longwood,Chinese,8
114,BRONX,Longwood,Latin American,5
115,BRONX,Longwood,Spanish,4
116,BRONX,Longwood,Mexican,3
117,BRONX,Longwood,Pizza,3
118,BRONX,Hunts Point,Chinese,5
119,BRONX,Hunts Point,Latin American,4
120,BRONX,Hunts Point,Spanish,4
121,BRONX,Hunts Point,Diner,2
122,BRONX,Hunts Point,Pizza,2
123,BRONX,Morrisania,Chinese,10
124,BRONX,Morrisania,Spanish,5
125,BRONX,Morrisania,Mexican,4
126,BRONX,Morrisania,African,3
127,BRONX,Morrisania,Latin American,3
128,BRONX,Soundview,Chinese,13
129,BRONX,Soundview,Spanish,5
130,BRONX,Soundview,Latin American,4
131,BRONX,Soundview,Mexican,3
132,BRONX,Soundview,Caribbean,2
133,BRONX,Clason Point,Spanish,2
134,BRONX,Clason Point,Asian,1
135,BRONX,Clason Point,Chinese,1
136,BRONX,Throgs Neck,Italian,4
137,BRONX,Throgs Neck,Chinese,3
138,BRONX,Throgs Neck,Pizza,3
139,BRONX,Throgs Neck,Asian,2
140,BRONX,Throgs Neck,Bar,1
141,BRONX,Country Club,Chinese,12
142,BRONX,Country Club,Latin American,4
143,BRONX,Country Club,Italian,3
144,BRONX,Country Club,Mexican,3
145,BRONX,Country Club,Bar,2
146,BRONX,Parkchester,Chinese,10
147,BRONX,Parkchester,Caribbean,3
148,BRONX,Parkchester,Latin American,3
149,BRONX,Parkchester,Pizza,3
150,BRONX,Parkchester,Asian,2
151,BRONX,Westchester Square,Chinese,13
152,BRONX,Westchester Square,Italian,3
153,BRONX,Westchester Square,Latin American,3
154,BRONX,Westchester Square,Pizza,3
155,BRONX,Westchester Square,Caribbean,2
156,BRONX,Van Nest,Chinese,12
157,BRONX,Van Nest,Spanish,5
158,BRONX,Van Nest,Caribbean,3
159,BRONX,Van Nest,Latin American,3
160,BRONX,Van Nest,Mexican,3
161,BRONX,Morris Park,Chinese,9
162,BRONX,Morris Park,Pizza,5
163,BRONX,Morris Park,Italian,3
164,BRONX,Morris Park,Latin American,3
165,BRONX,Morris Park,Caribbean,2
166,BRONX,Belmont,Chinese,8
167,BRONX,Belmont,Italian,7
168,BRONX,Belmont,Spanish,6
169,BRONX,Belmont,Caribbean,4
170,BRONX,Belmont,Mexican,3
171,BRONX,Spuyten Duyvil,Chinese,12
172,BRONX,Spuyten Duyvil,Seafood,4
