,Borough,Neighborhood,Venue_Category,Venue_Latitude,Venue_Longitude,Venue_Name
0,BRONX,Wakefield,Shopping Plaza,40.889297,-73.84305,Baychester Shopping Plaza
1,BRONX,Wakefield,Plaza,40.911267744009244,-73.83695841996334,Mount Vernon 4th Ave Shopping
2,BRONX,Wakefield,Office,40.895283794514924,-73.84430408477783,"Montgomery Mallett, LLP"
3,BRONX,Wakefield,Electronics,40.887356485036385,-73.83142165586895,Dyre Wireless Mall
4,BRONX,Wakefield,Auto Dealer,40.88473994642904,-73.83289933204651,International Auto Mall & Leasing Ctr Inc
5,BRONX,Wakefield,Distributor,40.88452163633901,-73.85847087711227,Mike's online shopping center
6,BRONX,Wakefield,Financial / Legal,40.8881166,-73.8605213,MoneyGram
7,BRONX,Co-op City,Mall,40.864451733276816,-73.82757339860808,The Mall at Bay Plaza
8,BRONX,Co-op City,Hospital,40.87017898193954,-73.82838088958397,Statcare Urgent & Walk-In Medical Care (Bronx Bartow Mall)
9,BRONX,Co-op City,Mall,40.867410043679406,-73.82665440072603,Bay Plaza Shopping Center
10,BRONX,Co-op City,Mall,40.86962910502878,-73.82806667576247,Bartow Mall
11,BRONX,Co-op City,Bus Station,40.8651065935937,-73.82652212295633,"MTA MaBSTOA Bus at Bay Plaza Shopping Center: (Bx12 & +Select [SBS], Bx29, Bx38)"
12,BRONX,Co-op City,Bank,40.87009316233544,-73.82850068864319,Amalgamated Bank - Bartow Mall
13,BRONX,Co-op City,Electronics,40.86579834119964,-73.83055436860468,PC Richards & Son Bay Plaza mall
14,BRONX,Co-op City,Mall,40.88079962648702,-73.82368505269557,PEARTREE PLAZA MALL
15,BRONX,Co-op City,Pet Store,40.86962890625,-73.82544708251953,petland discount bay plaza Mall
16,BRONX,Co-op City,Luggage Store,40.865639,-73.828829,Samsonite at Bay Plaza Mall
17,BRONX,Co-op City,Jewelry,40.864194528816284,-73.8273723681861,pandora at bay plaza mall
18,BRONX,Co-op City,Eye Doctor,40.86421776812877,-73.82736662445676,cohen's fashion optical Bay Plaza Mall
19,BRONX,Co-op City,Auto Dealer,40.88473994642904,-73.83289933204651,International Auto Mall & Leasing Ctr Inc
20,BRONX,Co-op City,Fast Food,40.8673445,-73.8251202,Burger King
21,BRONX,Co-op City,Electronics,40.887356485036385,-73.83142165586895,Dyre Wireless Mall
22,BRONX,Co-op City,Fast Food,40.864072,-73.826642,Dairy Queen Grill & Chill / Orange Julius
23,BRONX,Eastchester,Mall,40.8922573067517,-73.81776143990406,Pelham Manor Shopping Plaza
24,BRONX,Eastchester,Mall,40.88079962648702,-73.82368505269557,PEARTREE PLAZA MALL
25,BRONX,Eastchester,Electronics,40.887356485036385,-73.83142165586895,Dyre Wireless Mall
26,BRONX,Eastchester,Auto Dealer,40.88473994642904,-73.83289933204651,International Auto Mall & Leasing Ctr Inc
27,BRONX,Eastchester,Shopping Plaza,40.889297,-73.84305,Baychester Shopping Plaza
28,BRONX,Eastchester,Office,40.895283794514924,-73.84430408477783,"Montgomery Mallett, LLP"
29,BRONX,Fieldston,Mall,40.903429082829355,-73.90584354485044,Skyview Shopping Center
30,BRONX,Riverdale,Mall,40.903429082829355,-73.90584354485044,Skyview Shopping Center
31,BRONX,Riverdale,American,40.87368548,-73.90892769,Applebee's Grill + Bar
32,BRONX,Kingsbridge,Classroom,40.87805794607591,-73.89091074442311,Ms Mallers Room
33,BRONX,Kingsbridge,American,40.87368548,-73.90892769,Applebee's Grill + Bar
34,MANHATTAN,Marble Hill,Mall,40.86195791819866,-73.89784680498049,Shopping Center
35,MANHATTAN,Marble Hill,American,40.87368548,-73.90892769,Applebee's Grill + Bar
36,MANHATTAN,Marble Hill,Classroom,40.87805794607591,-73.89091074442311,Ms Mallers Room
37,BRONX,Woodlawn,Financial / Legal,40.8881166,-73.8605213,MoneyGram
38,BRONX,Woodlawn,Distributor,40.88452163633901,-73.85847087711227,Mike's online shopping center
39,BRONX,Norwood,Plaza,40.875221268511254,-73.88226329118113,mosholu parkway mall
40,BRONX,Norwood,Caribbean,40.88124851192866,-73.87894431325324,Golden Krust Caribbean Bakery and Grill
41,BRONX,Norwood,Classroom,40.87805794607591,-73.89091074442311,Ms Mallers Room
42,BRONX,Williamsbridge,Distributor,40.88452163633901,-73.85847087711227,Mike's online shopping center
43,BRONX,Williamsbridge,Automotive,40.870857,-73.856928,Oschun Auto Mall
44,BRONX,Williamsbridge,Auto Dealer,40.870413842887125,-73.8572108745575,Advanced Auto Mall
