,amount,borough_name,hood_name,total_crime,Latitude,Longitude,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
0,537981.5,BRONX,Baychester,10,40.86685810725274,-73.83579759808124,35.25,76.25,30.016666666666666
1,410292.0,BRONX,Bedford Park,57,40.87018516497537,-73.88551218419138,35.583333333333336,63.48333333333333,33.68333333333333
2,493852.0,BRONX,Belmont,80,40.857277100738976,-73.88845196134812,34.45,51.13333333333333,32.55
3,496198.0,BRONX,Castle Hill,16,40.819014376988356,-73.84802729582742,33.88333333333333,82.43333333333334,29.766666666666666
4,561559.5,BRONX,City Island,4,40.84724670491817,-73.7864884526742,38.68333333333333,75.85,33.18333333333333
5,545983.5,BRONX,Claremont Village,94,40.83142834161551,-73.90119903387674,33.93333333333333,49.95,33.53333333333333
6,434850.0,BRONX,Clason Point,10,40.80655112003594,-73.85414416189273,37.18333333333333,90.71666666666668,33.5
7,182250.0,BRONX,Co-op City,33,40.874294193030146,-73.82993910812405,40.8,94.33333333333331,35.56666666666667
8,267970.0,BRONX,Concourse,85,40.83428380733855,-73.91558941773452,32.516666666666666,52.05,36.05
9,387304.0,BRONX,Concourse Village,128,40.82478049084294,-73.91584652759016,33.03333333333333,46.68333333333333,35.583333333333336
10,598389.5,BRONX,Country Club,7,40.844245936947424,-73.82409926753857,35.11666666666667,81.21666666666667,28.86666666666667
11,480469.0,BRONX,East Tremont,109,40.84269615786057,-73.88735617532346,33.166666666666664,50.56666666666667,32.46666666666667
12,668210.0,BRONX,Eastchester,12,40.88755567735082,-73.82780644716419,36.95,84.53333333333333,31.73333333333333
13,550497.0,BRONX,Edenwald,35,40.88456130303736,-73.84808271877175,40.2,71.95,34.98333333333333
14,321028.0,BRONX,Edgewater Park,7,40.82198611816354,-73.81388514428627,32.8,87.46666666666668,27.8
15,1136226.0,BRONX,Fieldston,3,40.89543742690388,-73.90564259591689,31.516666666666666,61.76666666666666,39.45
16,245679.0,BRONX,Fordham,138,40.86099679638657,-73.89642655981629,36.3,40.23333333333333,35.583333333333336
