ST_LABEL,L_ZIP,R_ZIP
MITSUBISHI WILD WETLAND TRL,10458,10458
28 AV,11360,11360
SCHERMERHORN ST,11217,11217
QUEENS BLVD,11415,11415
ARLINGTON AV,10471,10471
ARTHUR KILL RD,10308,10308
E 181 ST,10457,10457
58 LA,11377,11377
FOREST AV,11385,11385
TIDES LA,10309,10309
HIGHLANDS-MARTHAS VYD FERRY RTE,,
CYPRESS CREST LA,10314,10314
WALWORTH ST,11205,11205
58 ST,11220,11220
HERSCHELL ST,10461,10461
PRESIDENT ST,10314,10314
DRIVEWAY,10040,10040
FULTON AV,10456,10456
AV I,11230,11230
178 ST,11433,11433
BENNETT AV,10033,10033
SILVER CT,10301,10301
AV W,11223,11223
NORTHERN BLVD,11358,11358
AV N,11230,11230
69 AV,11375,11375
ROOSEVELT IS BR PED & BIKE PATH,11106,11106
TOMPKINS AV,10305,10305
PITKIN AV,11207,11207
