,totalRooms,amount,zipcode,zindex,street,longitude,bathrooms,useCode,latitude,finishedSqFt,link,state,city,FIPScounty,lotSizeSqFt
0,,,11360.0,853400.0,28th Ave,-73.78755,1.0,MultiFamily5Plus,40.77312,,https://www.zillow.com/homedetails/28th-Ave-Bayside-NY-11360/2086056631_zpid/,NY,Bayside,,
1,,365828.0,11360.0,853400.0,28th Ave,-73.78755,,Townhouse,40.77312,,https://www.zillow.com/homedetails/28th-Ave-Flushing-NY-11360/2086048376_zpid/,NY,Flushing,,
2,,,11360.0,853400.0,28th Ave,-73.77423,,SingleFamily,40.77557,4410.0,https://www.zillow.com/homedetails/28th-Ave-Flushing-NY-11360/249417099_zpid/,NY,Flushing,36081.0,6724.0
3,,,11217.0,926500.0,321 Schermerhorn St,-73.981469,,VacantResidentialLand,40.687432,1475.0,https://www.zillow.com/homedetails/321-Schermerhorn-St-Brooklyn-NY-11217/30566322_zpid/,NY,Brooklyn,36047.0,938.0
4,,1197267.0,11217.0,926500.0,370 Schermerhorn St,-73.98002,,Unknown,40.68664,,https://www.zillow.com/homedetails/370-Schermerhorn-St-Brooklyn-NY-11217/2101048581_zpid/,NY,Brooklyn,,
5,,722388.0,11217.0,926500.0,360 Schermerhorn St,-73.980233,,Townhouse,40.686633,,https://www.zillow.com/homedetails/360-Schermerhorn-St-Brooklyn-NY-11217/2123588027_zpid/,NY,Brooklyn,,
6,,1224303.0,11217.0,926500.0,300 Schermerhorn St,-73.982637,,Unknown,40.687415,,https://www.zillow.com/homedetails/300-Schermerhorn-St-Brooklyn-NY-11217/2129309767_zpid/,NY,Brooklyn,,
7,,1421679.0,11217.0,1234400.0,319 Schermerhorn St #16B,-73.9792,3.0,Condominium,40.6828,1208.0,https://www.zillow.com/homedetails/319-Schermerhorn-St-16B-Brooklyn-NY-11217/2090293298_zpid/,NY,Brooklyn,,
8,4.0,1555592.0,11217.0,926500.0,319 Schermerhorn St # 19B,-73.981498,2.5,Condominium,40.6875,1219.0,https://www.zillow.com/homedetails/319-Schermerhorn-St-19B-Brooklyn-NY-11217/2091190648_zpid/,NY,Brooklyn,,
9,4.0,1217614.0,11217.0,926500.0,319 Schermerhorn St # 14C,-73.981498,2.0,Condominium,40.6875,865.0,https://www.zillow.com/homedetails/319-Schermerhorn-St-14C-Brooklyn-NY-11217/2093342718_zpid/,NY,Brooklyn,,
10,4.0,1217517.0,11217.0,926500.0,319 Schermerhorn St # 13C,-73.981498,2.0,Condominium,40.6875,865.0,https://www.zillow.com/homedetails/319-Schermerhorn-St-13C-Brooklyn-NY-11217/2093342719_zpid/,NY,Brooklyn,,
11,3.0,764630.0,11217.0,926500.0,319 Schermerhorn St # 8C,-73.981498,1.0,Condominium,40.6875,632.0,https://www.zillow.com/homedetails/319-Schermerhorn-St-8C-Brooklyn-NY-11217/2093342739_zpid/,NY,Brooklyn,,
12,3.0,766756.0,11217.0,926500.0,319 Schermerhorn St # 9C,-73.981498,1.0,Condominium,40.6875,632.0,https://www.zillow.com/homedetails/319-Schermerhorn-St-9C-Brooklyn-NY-11217/2093658838_zpid/,NY,Brooklyn,,
13,,1196802.0,11217.0,926500.0,323 Schermerhorn St # 1E,-73.981407,,Unknown,40.687408,,https://www.zillow.com/homedetails/323-Schermerhorn-St-1E-Brooklyn-NY-11217/2096331286_zpid/,NY,Brooklyn,,
14,,1224303.0,11217.0,926500.0,300 Schermerhorn St # 0,-73.982637,,Unknown,40.687415,,https://www.zillow.com/homedetails/300-Schermerhorn-St-0-Brooklyn-NY-11217/2096672991_zpid/,NY,Brooklyn,,
15,,1196813.0,11217.0,926500.0,323 Schermerhorn St # B,-73.98141,,Unknown,40.68739,,https://www.zillow.com/homedetails/323-Schermerhorn-St-B-Brooklyn-NY-11217/2100689768_zpid/,NY,Brooklyn,,
16,,667758.0,11217.0,926500.0,333 Schermerhorn St APT 29C,-73.981039,1.0,MultiFamily2To4,40.687217,,https://www.zillow.com/homedetails/333-Schermerhorn-St-APT-29C-Brooklyn-NY-11217/2085172085_zpid/,NY,Brooklyn,,
